iter	RMSE
131	14813995.12
132	14762382.24
133	14696411.5
134	14635407.49
135	14591048.42
136	14512576.08
137	14482747.34
138	14452952.11
139	14408926.67
140	14354568.49
141	14293199.6
142	14264401.92
143	14218068.91
144	14149873.29
145	14134139
146	14092914.86
147	14071785.95
148	14027264.74
149	13996680.99
150	13977925.52
151	13918011.17
152	13858018.91
153	13834484.46
154	13798683.01
155	13742165.4
156	13717957.02
157	13666063.71
158	13641434.63
159	13595296.57
160	13562447.94
161	13516159.51
162	13482854.89
163	13442943.03
164	13406233.22
165	13365915.77
166	13318526.21
167	13273237.54
168	13236912.41
169	13195523.78
170	13161415.75
171	13114268.87
172	13059169.7
173	13027302.09
174	13008591.45
175	12994910.1
176	12958383.23
177	12924827.45
178	12886997.14
179	12875998.65
180	12848673.04
181	12798324.49
182	12776049.9
183	12764028.09
184	12731449.3
185	12684816.02
186	12651764.24
187	12623392.61
188	12592251.11
189	12583581.87
190	12540640.17
191	12499147.64
192	12493956.95
193	12464614.32
194	12436251.87
195	12430768.06
196	12416795.31
197	12379278.69
198	12343022.48
199	12319767.01
200	12315460.47
201	12301009.72
202	12288027.72
203	12267812.84
204	12249001.53
205	12223234.8
206	12186949.17
207	12154184.5
208	12139258.96
209	12102232.83
210	12070762.11
211	12039906.76
212	12015805.05
213	11996110.22
214	11966457.46
215	11953706.85
216	11932625.63
217	11916742.64
218	11891050.16
219	11873892.7
220	11869660.63
221	11841809.93
222	11823282.11
223	11806783.23
224	11788934.64
225	11763342.46
226	11745541.31
227	11722674.92
228	11701921.08
229	11678116.31
230	11661396.86
231	11637843.2
232	11614209.82
233	11591097.09
234	11567223.98
235	11543307.18
236	11532957.95
237	11511025.87
238	11491657.31
239	11471108.83
240	11456256.06
241	11435776.66
242	11412817.45
243	11391389.48
244	11364533.14
245	11346567.95
246	11330489.43
247	11322747.34
248	11310900.49
249	11288954.17
250	11264449.24
251	11244919.99
252	11233985.54
253	11213454.68
254	11192989.22
255	11177946.72
256	11160212.29
257	11141763.94
258	11131847.71
259	11110167.92
260	11092881.5
261	11067926.3
262	11049655.46
263	11034027.35
264	11018305.19
265	11002297.52
266	10993446.78
267	10980563.25
268	10976215.55
269	10957395.92
270	10935461.23
271	10917671.2
272	10897734.23
273	10876605.68
274	10855847.41
275	10823938.79
276	10802715.64
277	10799825.41
278	10797210.51
279	10794723.07
280	10782328.15
281	10766390.9
282	10752571.75
283	10747445.64
284	10727743.99
285	10718944.13
286	10705798.16
287	10693926
288	10670775.5
289	10664252.49
290	10643963.49
291	10624841.49
292	10609542.16
293	10597403.22
294	10580836.35
295	10578620.83
296	10575319.07
297	10573420.93
298	10557515.68
299	10551746.52
300	10539798.39
301	10526125.35
302	10515947.7
303	10493573.09
304	10490995.75
305	10489348.97
306	10473981.22
307	10461377.69
308	10459807.16
309	10448757.48
310	10432799.05
311	10431365.74
312	10412833.04
313	10400879.96
314	10387195.21
315	10379581.14
316	10369895.94
317	10359625.26
318	10357983.64
319	10344521.85
320	10329937.52
321	10316974.74
322	10293842.43
323	10278321.98
324	10269772.16
325	10250334.73
326	10240802.66
327	10228678.92
328	10227325.79
329	10212069.07
330	10202404.69
331	10201174.96
332	10188737.53
333	10167168.56
334	10165985.69
335	10154171.09
336	10153071.45
337	10141241.87
338	10129369.41
339	10118937.3
340	10117899.28
341	10108954.58
342	10107993.82
343	10107086.11
344	10101658.49
345	10092454.32
346	10081324.02
347	10069148.28
348	10064146.22
349	10052184.76
350	10043085.55
351	10038693.43
352	10032618.12
353	10019933.67
354	10010353.78
355	9996626.078
356	9980551.003
357	9964323.559
358	9958210.827
359	9946592.117
360	9940887.592
361	9934063.497
362	9924324.491
363	9913370.736
364	9901091.792
365	9891688.566
366	9880596.734
367	9879844.585
368	9879059.458
369	9870461.118
370	9869721.503
371	9849287.437
372	9840055.505
373	9829910.89
374	9819719.866
375	9807448.603
376	9800690.799
377	9788801.96
378	9779264.745
379	9769609.997
380	9760094.618
381	9749819.218
382	9740979.838
383	9734105.369
384	9729151.357
385	9716310.312
386	9709008.913
387	9700874.308
388	9687908.924
389	9678751.874
390	9672979.103
391	9662027.316
392	9652818.475
393	9641219.64
394	9633393.204
395	9626071.982
396	9621376.305
397	9614174.558
398	9605833.82
399	9596013.127
400	9591017.324
401	9570081.758
402	9566065.015
403	9557641.594
404	9550435.828
405	9542711.671
406	9531059.096
407	9523013.197
408	9511588.449
409	9503793.544
410	9496905.603
411	9491257.474
412	9476249.801
413	9463575.562
414	9453819.03
415	9445289.944
416	9438336.032
417	9433820.067
418	9423900.857
419	9415364.576
420	9408219.331
421	9395583.943
422	9379176.178
423	9372085.953
424	9368294.408
425	9349494.828
426	9343537.301
427	9328489.866
428	9322379.213
429	9315733.102
430	9305530.706
431	9299911.076
432	9287871.66
433	9280833.78
434	9274908.33
435	9268889.307
436	9263547.737
437	9258956.751
438	9251501.633
439	9250856.507
440	9250232.169
441	9241851.204
442	9226364.04
443	9225797.229
444	9219488.313
445	9209351.499
446	9203003.208
447	9198195.83
448	9190181.555
449	9179646.808
450	9172069.963
451	9165252.299
452	9158867.375
453	9153072.361
454	9144235.086
455	9139140.619
456	9134804.161
457	9122175.19
458	9116587.461
459	9106604.84
460	9101303.928
461	9096325.273
462	9089163.938
463	9074639.602
464	9070610.121
465	9060689.759
466	9053520.098
467	9047188.644
468	9039258.979
469	9033361.305
470	9024384.787
471	9019152.082
472	9007682.844
473	9000281.427
474	8984261.064
475	8977520.318
476	8964875.314
477	8959411.113
478	8953224.254
479	8948676.434
480	8940892.336
481	8940355.994
482	8924310.197
483	8919516.848
484	8913855.127
485	8909800.132
486	8902620.744
487	8898335.569
488	8895001.311
489	8886302.869
490	8873699.44
491	8862525.944
492	8862020.561
493	8861552.11
494	8856867.428
495	8854345.016
496	8850783.518
497	8850362.036
498	8842987.741
499	8823611.325
