iter	Passed	Remaining
135	2261	6053
136	2283	6051
137	2309	6058
138	2327	6045
139	2343	6025
140	2361	6012
141	2383	6009
142	2404	6001
143	2417	5977
144	2435	5961
145	2453	5948
146	2471	5935
147	2511	5973
148	2533	5968
149	2555	5962
150	2567	5935
151	2583	5913
152	2595	5885
153	2609	5862
154	2623	5839
155	2634	5809
156	2658	5808
157	2669	5778
158	2686	5760
159	2698	5734
160	2711	5709
161	2724	5685
162	2739	5663
163	2756	5647
164	2773	5630
165	2789	5611
166	2812	5608
167	2827	5588
168	2845	5573
169	2861	5554
170	2873	5528
171	2900	5531
172	2919	5518
173	2941	5511
174	2955	5489
175	2972	5471
176	2988	5453
177	3001	5429
178	3016	5408
179	3033	5392
180	3056	5386
181	3067	5360
182	3085	5344
183	3107	5337
184	3131	5332
185	3156	5328
186	3168	5302
187	3181	5279
188	3195	5258
189	3207	5232
190	3220	5209
191	3235	5190
192	3273	5206
193	3295	5198
194	3326	5202
195	3352	5199
196	3372	5186
197	3392	5174
198	3413	5163
199	3432	5148
200	3449	5131
201	3468	5116
202	3490	5106
203	3510	5093
204	3537	5090
205	3557	5076
206	3574	5058
207	3590	5040
208	3607	5022
209	3691	5097
210	3730	5109
211	3752	5097
212	3768	5077
213	3785	5059
214	3808	5048
215	3821	5024
216	3842	5011
217	3858	4991
218	3873	4970
219	3886	4947
220	3919	4948
221	3953	4950
222	4026	5001
223	4042	4981
224	4062	4965
225	4087	4955
226	4106	4938
227	4129	4925
228	4153	4915
229	4175	4901
230	4198	4889
231	4231	4887
232	4256	4877
233	4275	4860
234	4289	4837
235	4305	4816
236	4319	4792
237	4336	4773
238	4354	4755
239	4371	4735
240	4392	4720
241	4404	4695
242	4417	4672
243	4442	4661
244	4467	4650
245	4487	4633
246	4500	4609
247	4515	4588
248	4532	4568
249	4556	4556
250	4573	4537
251	4596	4523
252	4611	4502
253	4625	4479
254	4641	4459
255	4655	4437
256	4670	4416
257	4681	4391
258	4695	4369
259	4709	4347
260	4723	4325
261	4736	4302
262	4751	4281
263	4767	4262
264	4785	4243
265	4803	4225
266	4815	4202
267	4827	4178
268	4841	4157
269	4856	4137
270	4869	4114
271	4882	4092
272	4899	4073
273	4912	4052
274	4924	4029
275	4939	4009
276	4953	3987
277	4968	3967
278	4991	3953
279	5006	3933
280	5022	3914
281	5035	3892
282	5049	3871
283	5058	3847
284	5071	3825
285	5083	3804
286	5098	3783
287	5112	3763
288	5128	3744
289	5151	3730
290	5164	3709
291	5178	3688
292	5192	3668
293	5205	3647
294	5218	3626
295	5230	3604
296	5242	3583
297	5255	3562
298	5267	3540
299	5281	3521
300	5292	3498
301	5308	3480
302	5321	3459
303	5334	3439
304	5347	3418
305	5359	3397
306	5371	3376
307	5384	3356
308	5396	3335
309	5408	3314
310	5423	3295
311	5448	3283
312	5485	3277
313	5504	3260
314	5519	3241
315	5541	3226
316	5580	3221
317	5639	3227
318	5659	3211
319	5675	3192
320	5689	3172
321	5703	3152
322	5717	3133
323	5729	3112
324	5742	3091
325	5755	3071
326	5769	3052
327	5784	3033
328	5799	3014
329	5817	2996
330	5846	2984
331	5860	2965
332	5879	2948
333	5891	2928
334	5907	2909
335	5921	2890
336	5942	2874
337	5958	2855
338	5976	2838
339	6011	2829
340	6028	2811
341	6050	2795
342	6067	2777
343	6080	2757
344	6091	2736
345	6108	2719
346	6124	2700
347	6138	2681
348	6158	2664
349	6180	2648
350	6193	2628
351	6214	2613
352	6236	2597
353	6252	2578
354	6282	2566
355	6305	2550
356	6319	2531
357	6338	2514
358	6378	2505
359	6396	2487
360	6422	2472
361	6444	2456
362	6459	2437
363	6483	2422
364	6516	2410
365	6533	2392
366	6544	2371
367	6555	2351
368	6568	2331
369	6582	2312
370	6594	2293
371	6610	2274
372	6622	2254
373	6642	2237
374	6657	2219
375	6669	2199
376	6683	2180
377	6695	2160
378	6715	2143
379	6734	2126
380	6747	2107
381	6760	2088
382	6771	2068
383	6791	2051
384	6811	2034
385	6828	2016
386	6845	1998
387	6865	1981
388	6884	1964
389	6897	1945
390	6913	1927
391	6928	1908
392	6941	1889
393	6962	1873
394	6976	1854
395	6995	1837
396	7008	1818
397	7027	1800
398	7058	1786
399	7071	1767
400	7084	1749
401	7101	1731
402	7132	1716
403	7161	1701
404	7202	1689
405	7222	1672
406	7236	1653
407	7250	1635
408	7267	1616
409	7289	1600
410	7305	1582
411	7321	1563
412	7336	1545
413	7361	1529
414	7378	1511
415	7413	1496
416	7429	1478
417	7443	1460
418	7456	1441
419	7470	1422
420	7485	1404
421	7501	1386
422	7517	1368
423	7531	1349
424	7547	1331
425	7560	1313
426	7576	1295
427	7598	1278
428	7614	1260
429	7631	1242
430	7658	1226
431	7697	1211
432	7712	1193
433	7728	1175
434	7742	1156
435	7759	1139
436	7773	1120
437	7792	1103
438	7829	1087
439	7848	1070
440	7861	1051
441	7876	1033
442	7890	1015
443	7904	996
444	7920	978
445	7934	960
446	7946	942
447	7958	923
448	7974	905
449	7996	888
450	8009	870
451	8023	852
452	8037	833
453	8053	815
454	8071	798
455	8085	780
456	8103	762
457	8116	744
458	8132	726
459	8153	709
460	8181	692
461	8194	674
462	8206	655
463	8220	637
464	8232	619
465	8243	601
466	8255	583
467	8273	565
468	8296	548
469	8314	530
470	8328	512
471	8342	494
472	8358	477
473	8374	459
474	8393	441
475	8408	423
476	8421	406
477	8436	388
478	8453	370
479	8466	352
480	8477	334
481	8486	316
482	8500	299
483	8525	281
484	8560	264
485	8580	247
486	8609	229
487	8629	212
488	8659	194
489	8674	177
490	8686	159
491	8696	141
492	8715	123
493	8725	105
494	8739	88
495	8771	70
496	8786	53
497	8798	35
498	8822	17
499	8844	0
