iter	RMSE
0	0.8038076079
1	0.7497690744
2	0.7011169677
3	0.6638054749
4	0.6256008122
5	0.6214180949
6	0.6063404449
7	0.5732342304
8	0.5444642152
9	0.515133294
10	0.515133277
11	0.4879438081
12	0.4701049477
13	0.4597274943
14	0.4597274785
15	0.4357612476
16	0.4233926614
17	0.4173248375
18	0.4173248058
19	0.4013345014
20	0.3868636293
21	0.3755556024
22	0.3629075102
23	0.3629074839
24	0.3544937159
25	0.3454484486
26	0.3405267031
27	0.3334507152
28	0.3320150958
29	0.3265616115
30	0.3202199944
31	0.313737837
32	0.3122040045
33	0.3079209469
34	0.3056484369
35	0.3041609283
36	0.3041609203
37	0.299873879
38	0.2993521072
39	0.2950969544
40	0.2912905486
41	0.2902553824
42	0.2856245234
43	0.2825967465
44	0.2813618081
45	0.2795601756
46	0.2765334771
47	0.2755546495
48	0.2738569226
49	0.2736682308
50	0.2718571245
51	0.271834554
52	0.2718123432
53	0.2685683724
54	0.2671312177
55	0.26656282
56	0.2662076919
57	0.2660858195
58	0.2660027909
59	0.2658603516
60	0.2657598136
61	0.2642324744
62	0.2621266262
63	0.2604065703
64	0.25855635
65	0.2565626208
66	0.2546556926
67	0.252858002
68	0.2524019189
69	0.2508431663
70	0.2495466509
71	0.2493057566
72	0.2477225714
73	0.2461254027
74	0.2458015973
75	0.2445543238
76	0.2436826458
77	0.2429272027
78	0.24284384
79	0.2427510348
80	0.2422734066
81	0.2413880258
82	0.2406423813
83	0.2395316167
84	0.2390113549
85	0.2381085717
86	0.2372878481
87	0.2367306609
88	0.2360676043
89	0.2343861039
90	0.2329941326
91	0.2329806609
92	0.2320085745
93	0.2318829466
94	0.2308555227
95	0.2301447327
96	0.2301447323
97	0.228951001
98	0.2281002696
99	0.2281002694
100	0.2281002693
101	0.2274429982
102	0.2258745847
103	0.2249534794
104	0.2246413208
105	0.2238158195
106	0.2231199175
107	0.2216236875
108	0.2205628223
109	0.2198256127
110	0.2191108822
111	0.2184889941
112	0.2179545656
113	0.2167509069
114	0.2167509069
115	0.2159764937
116	0.2159519258
117	0.2159519258
118	0.2158225178
119	0.2146229039
120	0.2146229039
121	0.2133569059
122	0.2130531797
123	0.2122019224
124	0.2120797225
125	0.211459302
126	0.2108396236
127	0.2108184716
128	0.2099484727
129	0.2099229989
130	0.2088735999
131	0.2082556825
132	0.2070512568
133	0.2061357883
134	0.2054731549
135	0.2048245591
136	0.2043599845
137	0.2043198337
138	0.2043198337
139	0.2042415421
140	0.2033866402
141	0.203335319
142	0.2028974211
143	0.2027967061
144	0.2026813476
145	0.2015502358
146	0.2007031356
147	0.2000485928
148	0.1999794283
149	0.1999246838
150	0.1999246837
151	0.199125599
152	0.199125599
153	0.1989713063
154	0.1987796716
155	0.198037511
156	0.1977795002
157	0.1977651221
158	0.196604956
159	0.1961170549
160	0.195950352
161	0.1958179778
162	0.1955870764
163	0.1955870763
164	0.1945628513
165	0.1940536222
166	0.1934508628
167	0.1926460396
168	0.1925366654
169	0.1918331391
170	0.1918331391
